Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
18-02-2021,09:02,TEMPLETON EMRG.,GB0008829292,LSE,XLON,387,1070.0000,GBX,-414090.00,GBX,-4766.21,EUR,86.7935,-2.39,EUR,-4768.60,EUR,700f9fd2-0ad9-483a-9c4d-5f4e57f6ff39
18-02-2021,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,2,1070.0000,GBX,-2140.00,GBX,-24.63,EUR,86.8138,-0.01,EUR,-24.64,EUR,700f9fd2-0ad9-483a-9c4d-5f4e57f6ff39
18-02-2021,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,11,1070.0000,GBX,-11770.00,GBX,-135.44,EUR,86.8138,-4.07,EUR,-139.51,EUR,700f9fd2-0ad9-483a-9c4d-5f4e57f6ff39
17-02-2021,20:29,PFIZER INC. COMMON ST,US7170811035,NSY,SOHO,30,34.8800,USD,-1046.40,USD,-869.46,EUR,1.2023,-0.60,EUR,-870.06,EUR,fd89cbcd-f095-47d0-a39b-6023244aa705
12-02-2021,11:37,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,31,86.7700,EUR,-2689.87,EUR,-2689.87,EUR,,-0.81,EUR,-2690.68,EUR,304599ca-76c6-4337-9833-f2c557826271
12-02-2021,11:37,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,59,86.7700,EUR,-5119.43,EUR,-5119.43,EUR,,-3.54,EUR,-5122.97,EUR,304599ca-76c6-4337-9833-f2c557826271
29-01-2021,15:48,ISHARES CORE GLB AG BO,IE00BDBRDM35,MIL,MTAA,128,5.3470,EUR,-684.42,EUR,-684.42,EUR,,-2.21,EUR,-686.63,EUR,b88ae1f1-d194-49b1-b2c0-9bf1b9c4f2fa
29-01-2021,15:46,ISHARES COREMSCIPACIFIC EX-JAPANUCITS ETF USD,IE00B52MJY50,XET,XETA,8,138.4800,EUR,-1107.84,EUR,-1107.84,EUR,,-2.33,EUR,-1110.17,EUR,c0bdf746-0fe1-491b-8113-85d81983f66f
29-01-2021,15:44,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,600,5.4340,EUR,-3260.40,EUR,-3260.40,EUR,,-2.98,EUR,-3263.38,EUR,ab19c23b-2fd8-43e2-9ebf-f2c9ec8b5c39
05-01-2021,11:23,ISHARES CORE GLB AG BO,IE00BDBRDM35,MIL,MTAA,148,5.3830,EUR,-796.68,EUR,-796.68,EUR,,-2.24,EUR,-798.92,EUR,1a327632-e422-49f5-9b35-357afe02d63a
05-01-2021,11:20,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,88,5.2080,EUR,-458.30,EUR,-458.30,EUR,,-0.14,EUR,-458.44,EUR,6edc245f-9c34-4ef4-8bd1-7f78fec50b1b
05-01-2021,11:20,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,212,5.2070,EUR,-1103.88,EUR,-1103.88,EUR,,-2.33,EUR,-1106.21,EUR,6edc245f-9c34-4ef4-8bd1-7f78fec50b1b
28-12-2020,09:04,"UNILEVER PLC LS-,031111",GB00B10RZP78,XET,XETB,11,47.6000,EUR,-523.60,EUR,-523.60,EUR,,-4.26,EUR,-527.86,EUR,840ef406-13de-46d6-9fc9-f150055b6363
23-12-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,50,928.0000,GBX,-46400.00,GBX,-511.41,EUR,90.6396,-4.26,EUR,-515.67,EUR,773ec32f-d742-4fca-a9ca-a26333735b00
14-12-2020,00:00,BROOKFIELD RENEWABLE CORPORATION CLASS A SUBORDINA,CA11284V1058,NSY,,85,46.9600,USD,-3991.60,USD,-3287.48,EUR,1.2142,,,-3287.48,EUR,
14-12-2020,00:00,BROOKFIELD RENEWABLE CORPORATION CLASS A SUBORDINA,CA11284V1058,NSY,,-57,70.4400,USD,4015.08,USD,3306.82,EUR,1.2142,,,3306.82,EUR,
02-12-2020,09:25,TEMPLETON EMRG.,GB0008829292,LSE,XLON,38,925.0000,GBX,-35150.00,GBX,-389.90,EUR,90.0601,-0.20,EUR,-390.10,EUR,8cf29e8f-545c-45b6-bc63-acd207151f3e
02-12-2020,09:04,JPMORGAN G,GB00B18JK166,LSE,XLON,152,296.0000,GBX,-44992.00,GBX,-498.41,EUR,90.1803,-4.25,EUR,-502.66,EUR,c4a5d067-214c-4a2b-96db-6e3838e8c5ee
02-12-2020,09:04,AXA SA,FR0000120628,XET,XETB,30,19.7360,EUR,-592.08,EUR,-592.08,EUR,,-4.30,EUR,-596.38,EUR,1c8e237a-925c-45dd-8bf4-9bbf08602bcb
02-12-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,32,925.0000,GBX,-29600.00,GBX,-328.01,EUR,90.1502,-4.16,EUR,-332.17,EUR,8cf29e8f-545c-45b6-bc63-acd207151f3e
01-12-2020,18:40,BOEING COMPANY (THE) C,US0970231058,NSY,SOHO,3,216.7700,USD,-650.31,USD,-539.86,EUR,1.2034,-0.51,EUR,-540.37,EUR,5cb1f31d-7023-4b8f-9f07-4733496ef754
30-11-2020,08:14,UNILEVER NV,NL0000388619,XET,,-44,50.3800,EUR,2216.72,EUR,2216.72,EUR,,,,2216.72,EUR,
30-11-2020,08:14,"UNILEVER PLC LS-,031111",GB00B10RZP78,XET,,44,50.3800,EUR,-2216.72,EUR,-2216.72,EUR,,,,-2216.72,EUR,
17-11-2020,21:07,ALIBABA GROUP HOLDING,US01609W1027,NSY,SOHO,2,257.0900,USD,-514.18,USD,-433.40,EUR,1.1852,-0.51,EUR,-433.91,EUR,f49c85fa-bcd7-4ebc-a7e6-7cad38626521
17-11-2020,00:00,VIATRIS INC. - COMMON STOCK,US92556V1061,NDQ,,10,0.0000,USD,0.00,USD,0.00,EUR,1.1718,,,0.00,EUR,
16-11-2020,09:53,ADIDAS AG,DE000A1EWWW0,XET,XETA,3,270.2000,EUR,-810.60,EUR,-810.60,EUR,,-4.41,EUR,-815.01,EUR,aed30c9b-9516-4db8-948c-39abe1f81c75
13-11-2020,21:11,JP MORGAN CHASE & CO.,US46625H1005,NSY,CDED,7,114.0600,USD,-798.42,USD,-674.74,EUR,1.1821,-0.52,EUR,-675.26,EUR,ae292a70-0680-4584-8e6c-fb93709bf2a3
12-11-2020,20:08,CISCO SYSTEMS INC. -,US17275R1023,NDQ,XNAS,15,38.6400,USD,-579.60,USD,-490.85,EUR,1.1796,-0.55,EUR,-491.40,EUR,4bc6d196-142a-47e7-b26f-d60653d3aa3c
12-11-2020,19:53,BANK OF AMERICA CORPOR,US0605051046,NSY,CDED,20,26.5200,USD,-530.40,USD,-449.11,EUR,1.1798,-0.57,EUR,-449.68,EUR,d99c1c1a-aa2d-4823-886e-74a0dd8ce04a
12-11-2020,19:46,PFIZER INC. COMMON ST,US7170811035,NSY,CDED,20,37.3600,USD,-747.20,USD,-632.95,EUR,1.1793,-0.57,EUR,-633.52,EUR,02a521f4-624d-411b-b51c-7bd804d0424f
12-11-2020,09:00,ADIDAS AG,DE000A1EWWW0,XET,XETA,3,276.9000,EUR,-830.70,EUR,-830.70,EUR,,-4.42,EUR,-835.12,EUR,af6186f6-4e86-4181-a51e-a9b4a9fd3e58
12-11-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,1,902.0000,GBX,-902.00,GBX,-10.09,EUR,89.2809,-0.01,EUR,-10.10,EUR,7e30ff96-494d-4c64-bd95-8bf8fb414930
12-11-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,17,902.0000,GBX,-15334.00,GBX,-171.58,EUR,89.2809,-0.09,EUR,-171.67,EUR,7e30ff96-494d-4c64-bd95-8bf8fb414930
12-11-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,89,902.0000,GBX,-80278.00,GBX,-898.26,EUR,89.2809,-0.45,EUR,-898.71,EUR,7e30ff96-494d-4c64-bd95-8bf8fb414930
12-11-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,30,902.0000,GBX,-27060.00,GBX,-302.79,EUR,89.2809,-0.15,EUR,-302.94,EUR,7e30ff96-494d-4c64-bd95-8bf8fb414930
12-11-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,40,902.0000,GBX,-36080.00,GBX,-403.71,EUR,89.2809,-0.20,EUR,-403.91,EUR,7e30ff96-494d-4c64-bd95-8bf8fb414930
12-11-2020,09:00,TEMPLETON EMRG.,GB0008829292,LSE,XLON,23,902.0000,GBX,-20746.00,GBX,-232.14,EUR,89.2809,-4.12,EUR,-236.26,EUR,7e30ff96-494d-4c64-bd95-8bf8fb414930
11-11-2020,20:41,PROCTER & GAMBLE COMPA,US7427181091,NSY,CDED,5,142.4000,USD,-712.00,USD,-604.82,EUR,1.1760,-0.52,EUR,-605.34,EUR,a070d3af-a794-428f-9b31-52cd7a40fc89
